name,label_name,y,x
Burien Transit Center,Burien TC,47.4693256,-122.3403857
Kent Transit Center,Kent TC,47.3836401,-122.2346441
Auburn Transit Center,Auburn TC,47.3069193,-122.2316235
South Renton P&R,S Renton P&R,47.4718414,-122.2147887
Federal Way Transit Center,Federal Way TC,47.3179917,-122.3056636
Bellevue Transit Center,Bellevue TC,47.615425,-122.196105
Eastgate Park & Ride,Eastgate P&R,47.580033,-122.151409
Bothell Park & Ride,Bothell P&R,47.759428,-122.201043
Issaquah Highlands Park & Ride,Highlands P&R,47.545017,-122.019998
Issaquah Transit Center,Issaquah TC,47.542284,-122.062408
Kenmore Park & Ride,Kenmore P&R,47.757213,-122.241200
Kirkland Transit Center,Kirkland TC,47.676824,-122.203325
Redmond Transit Center,Redmond TC,47.677226,-122.123995
Redmond Technology Station,Redmond Tech Station,47.643990,-122.132208
Ryerson Base,Ryerson Base,47.592351,-122.328545
South Base,South Base,47.495809,-122.286190
Northgate Transit Center,Northgate TC,47.701365,-122.327236
Aurora Village Transit Center,Aurora Village TC,47.774162,-122.340623
Tukwila Intl. Blvd. Station,Tukwila Blvd.,47.464689,-122.287011
Woodinville Park & Ride,Woodinville P&R,47.757192,-122.151270
