name,label_name,lat,lon
Burien Transit Center,Burien TC,47.4693256,-122.3403857
Kent Transit Center,Kent TC,47.3836401,-122.2346441
Auburn Transit Center,Auburn TC,47.3069193,-122.2316235
South Renton P&R,S Renton P&R,47.4718414,-122.2147887
Federal Way Transit Center,Federal Way TC,47.3179917,-122.3056636
Bothell Park & Ride,Bothell P&R,47.759428,-122.201043
Kenmore Park & Ride,Kenmore P&R,47.757213,-122.241200
South Base,South Base,47.495809,-122.286190
Northgate Transit Center,Northgate TC,47.701365,-122.327236
Aurora Village Transit Center,Aurora Village TC,47.774162,-122.340623
